,NameID,Image,Name,Gender,Height,BirthDate,BirthPlace,Bios
10,nm5709125,https://m.media-amazon.com/images/M/MV5BMjkxNjllN2MtMTI3Ny00YTQwLTg0YzktNDdhNzk2OWQxNmUzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg,Ritu Arya,female,165.1,,,"Ritu Arya is an actress, known for Red Notice (2021), The Umbrella Academy (2019) and Feel Good (2020)."
11,nm4689420,https://m.media-amazon.com/images/M/MV5BY2JlNjA2MzgtNjMwNy00Mjg1LTk1NGYtZTQ3NTZjYTgxMjM1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg,Carrie Coon,female,165.1,1981-01-24,"Copley, Ohio, USA","Originally from Copley, OH, Carrie Coon is a Chicago-based theatre, television and film actress. She received a BA in English and Spanish from the University of Mount Union, followed by her MFA in Acting at the University of Wisconsin, Madison. Coon was nominated for a Tony Award in the Best Featured Actress category for her Broadway debut as Honey in the transfer of Steppenwolf Theatre's production of ""Edward Albee's Who's Afraid of Virginia Woolf?"", directed by Pam MacKinnon. Although Coon did not win in 2013, the production was awarded Best Revival, Best Director (MacKinnon) and Best Actor (Tracy Letts)."
12,nm0267812,https://m.media-amazon.com/images/M/MV5BMjIwNTU3NDUyMl5BMl5BanBnXkFtZTgwODEwODg5NDE@._V1_.jpg,Vera Farmiga,female,170.0,1973-08-06,"Clifton, New Jersey, USA","Vera Farmiga is an American actress who has received an Academy Award nomination for her role in Up in the Air (2009) and Primetime Emmy Award nominations for her roles in Bates Motel (2013) and When They See Us (2019).

She was born Vera Ann Farmiga, the second of seven children, on August 6, 1973, in Clifton, New Jersey, USA, to Ukrainian parents. She did not speak English until the age of six, and was raised in the Ukrainian Catholic home of her mother, Luba (Spas), a schoolteacher, and her father, Michael Farmiga, a computer systems analyst. Her younger sister is actress Taissa Farmiga, who is 21 years her junior. Young Vera was a shy, nearsighted girl, who played piano and folk danced with a Ukrainian touring company in her teens.

In 1991, she graduated from Hunterdon Central Regional High School. Farmiga initially dreamed of becoming an optometrist, but she later changed her mind and studied acting at Syracuse University's School of Performing Arts, graduating in 1995. The following year, she began her professional acting career, making her Broadway debut as an understudy in the play ""Taking Sides"". Her stage credits included performances in ""The Tempest"", ""Good"", ""The Seagull"", and in a well-reviewed off-Broadway production of ""Second-Hand Smoke"" (1997). That same year, she made her television debut as the female lead, opposite a then-unknown Heath Ledger, in Fox's adventure series Roar (1997).

In 1998, Farmiga made her big screen debut in the drama Return to Paradise (1998), then played the daughters of Christopher Walken in The Opportunists (1999) and Richard Gere in Autumn in New York (2000). She starred as a working-class mother struggling to keep her life and marriage together while hiding her drug addiction in Down to the Bone (2004), for which she was awarded Best Actress from the 2004 Sundance Film Festival and the Los Angeles Film Critics Association. Farmiga's acting talent shone in a range of characters, from her role as a senator's daughter in The Manchurian Candidate (2004), the wife of a mobster in Running Scared (2006), a humorous prostitute in Breaking and Entering (2006), and a police psychiatrist in The Departed (2006).

In 2010, Farmiga received an Academy Award nomination for Best Actress in a Supporting Role for her performance in Up in the Air (2009). In 2011, she made her directorial debut with the drama Higher Ground (2011), in which she also appeared in the leading role. Although the film had a limited release, Farmiga's direction and performance received attention at several festivals. In 2013, she began starring in the drama thriller series Bates Motel (2013), for which she received a Primetime Emmy Award nomination for Outstanding Lead Actress in a Drama Series in the first season. In 2019, she received a second Primetime Emmy Award nomination, this time in the Outstanding Supporting Actress in a Limited Series or Movie category, for her role in the drama miniseries When They See Us (2019).

Farmiga was formerly married to actor Sebastian Roché, whom she met during production of Roar (1997). The two eloped to the Bahamas after the series ended in 1997. They separated and subsequently divorced in 2004. On September 13, 2008, she married musician Renn Hawkey, with whom she has two children, son Fynn McDonnell (b. 2009) and daughter Gytta Lubov Hawkey (b. 2010). Farmiga lives with her family in Hudson Valley, New York. Her other activities, outside her acting profession, include reading, playing piano, boxing, jujitsu, and spending time with her pet angora goats."
13,nm6073955,https://m.media-amazon.com/images/M/MV5BYjI5YjIyNTgtN2UzOS00NmRiLWE0YjgtNDIxN2M5MDQ2NmY2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,Florence Pugh,female,162.0,1996-01-03,"Oxford, Oxfordshire, England, UK","Florence Pugh is an English actress. She is known for The Falling (2014), her film debut, Lady Macbeth (2016), Outlaw King (2018), Fighting with My Family (2019), and Midsommar (2019).

Pugh also appear in the ITV detective series Marcella and starred in the AMC Mini-Series The Little Drummer Girl.

In 2018 she was nominated for a BAFTA EE Rising Star Award."
14,nm1307435,https://m.media-amazon.com/images/M/MV5BMTFiMmUwZDgtMzcyZC00ZjIwLTgyMTUtMDk4NzU1Mjk4YjkyXkEyXkFqcGdeQXVyNDI2OTYwNzE@._V1_.jpg,Alex Hassell,male,,1980-09-17,"Southend-on-Sea, Essex, England, UK","Alex Hassell was born on September 17, 1980 in Southend-on-Sea, Essex, England as Alexander Stephen Hassell. Alex is an actor, known for The Tragedy of Macbeth (2021), Cowboy Bebop (2021) and The Boys (2019). Alex is married to Emma King."
15,nm0687146,https://m.media-amazon.com/images/M/MV5BZTQyMzQzMjEtODVjMS00YzEzLWJjNzItY2I0MWM1YjY3MjZkXkEyXkFqcGdeQXVyMTMxNjMxMjE5._V1_.jpg,Jesse Plemons,male,177.8,1988-04-02,"Dallas, Texas, USA","Jesse Plemons was born on April 2, 1988 in Dallas, Texas, USA as Jesse Lon Plemons. He is known for his work on The Irishman (2019), Game Night (2018) and Battleship (2012)."
16,nm3480246,https://m.media-amazon.com/images/M/MV5BMTYxNDk4NDAyMl5BMl5BanBnXkFtZTgwNjIzMTc0NTM@._V1_.jpg,Ella Purnell,female,162.56,1996-09-17,"London, England, UK","Ella Purnell was born in London, U.K. She is best known for her roles in Tim Burton's Miss Peregrine's Home For Peculiar Children (2016), in BBC One's Ordeal By Innocence (2017) and Starz' Sweetbitter (2017), in which she plays the series lead role of Tess in the adaptation of Stephanie Danler's hit novel of the same name."
17,nm0717709,https://m.media-amazon.com/images/M/MV5BNjgzMzk2MjEzM15BMl5BanBnXkFtZTgwMTkzMDEwMTE@._V1_.jpg,Kelly Reilly,female,167.64,1977-07-18,"Surrey, England, UK","Jessica Kelly Siobhán Reilly (born 18 July 1977) is an English actress. Her performance in After Miss Julie at the Donmar Warehouse made her a star of the London stage and earned her a nomination for a Laurence Olivier Award for Best Actress of 2003. Reilly was born and brought up in Chessington, Surrey, England, the daughter of a hospital receptionist mother, and Jack Reilly, a police officer. She attended Tolworth Girls' School in Kingston, where she studied drama for GCSE. Her grandparents are Irish.

Reilly wrote to the producers of the television drama Prime Suspect to ask for work, and six months later she auditioned for a role in an episode of Prime Suspect 4: Inner Circle, which was broadcast on ITV on 7 May 1995. Six years later, she again appeared alongside Helen Mirren in the film Last Orders.

Her first professional role was followed by a series of parts on the English stage. She worked with Terry Johnson in four productions: Elton John's Glasses (1997), The London Cuckolds (1998), The Graduate (2000) and Piano/Forte (2006). Johnson wrote Piano/Forte for her and said, ""Kelly is possibly the most natural, dyed-in-the-wool, deep-in-the-bone actress I've ever worked with."" Reilly has stated that she learned the most as an actor from Karel Reisz, who directed her in The Yalta Game in Dublin in 2001. She said, ""He was my masterclass. There is no way I would have been able to do Miss Julie if I hadn't done that play.""

By 2000, Reilly felt she was being typecast in comedy roles, and actively sought out a role as the young Amy in Last Orders, directed by Fred Schepisi. This was followed by a role in the Royal Court's 2001 rerun of Sarah Kane's Blasted. The Times called her ""theatrical Viagra"". In 2002, Reilly starred alongside Audrey Tautou and Romain Duris as Wendy, an English Erasmus student, in the French comedy L'Auberge espagnole (The Spanish Apartment). She reprised her role in the 2005 sequel, Les Poupées russes (The Russian Dolls) and the 2013 follow-up, Casse-tête chinois (Chinese Puzzle). Also in 2005, Reilly had roles in such films as Mrs Henderson Presents and Pride & Prejudice.

Reilly's first lead role came in 2008 in the horror film Eden Lake and, in 2009, she had a high-profile role on prime-time British television in Above Suspicion. Reilly also appeared in three major films: Sherlock Holmes, Triage, and Me and Orson Welles.

In 2011, Reilly reprised her role as Mary Watson in Sherlock Holmes: A Game of Shadows. In 2012, Reilly appeared opposite Sam Rockwell in A Single Shot and had a leading role in Robert Zemeckis' Flight opposite Denzel Washington. In 2014, Reilly starred with Greg Kinnear in the film Heaven is for Real and in the John Michael McDonagh film Calvary. The same year Reilly starred in the short-lived ABC series Black Box, as Catherine Black, a famed neuroscientist who explores and solves the mysteries of the brain (the black box) while hiding her own bipolar disorder from the world.

In 2015, Reilly starred in the second season of HBO's True Detective as Jordan Semyon, the wife of Vince Vaughn's character Frank Semyon. The same year, Reilly made her Broadway debut opposite Clive Owen and Eve Best in Harold Pinter's play Old Times at the American Airlines Theatre."
18,nm1940449,https://m.media-amazon.com/images/M/MV5BMjE2MjI2OTk1OV5BMl5BanBnXkFtZTgwNTY1NzM4MDI@._V1_.jpg,Andrew Garfield,male,179.1,1983-08-20,"Los Angeles, California, USA","Andrew Russell Garfield was born in Los Angeles, California, to a British mother, Andrea, and father, Richard Garfield. When he was three, he moved to Surrey, U.K., with his parents and older brother. He is of English and Polish Jewish heritage. Andrew was raised in a middle class family, and attended a private school, the City of London Freemen's School. He began acting in youth theatre productions while he was still at school. At age 19, he went to the Royal Central School of Speech and Drama.

His first professional roles were on the stage and in 2005 he made his TV debut in the Channel 4 teen series Sugar Rush (2005) in the UK. More TV work followed (reaching a wider UK audience in a two-part story in the third season of Doctor Who (2005)), as well as a number of movie appearances. Garfield played Eduardo in The Social Network (2010) and Tommy in Never Let Me Go (2010), two films that brought him to full international attention. That same year, he was cast as the title character in the reboot of the Spider-Man film franchise, The Amazing Spider-Man (2012). He reprised the role in the sequel, The Amazing Spider-Man 2 (2014), before passing off the torch to Tom Holland.

Resuming his work in drama films, Garfield starred in Ramin Bahrani's 99 Homes (2014), with Michael Shannon, Mel Gibson's Hacksaw Ridge (2016), about real-life Seventh Day Adventist war hero Desmond Doss, and Martin Scorsese's Silence (2016), opposite Adam Driver, playing Jesuit priests. He received his first Academy Award nomination for Best Actor for his role as Doss.

In 2017, he starred in Andy Serkis-directed drama Breathe (2017), where Garfield plays Robin Cavendish, an adventurous man paralyzed by polio. In 2018, he headlines David Robert Mitchell's noir thriller Under the Silver Lake (2018)."
19,nm3918035,https://m.media-amazon.com/images/M/MV5BMjAxZTk4NDAtYjI3Mi00OTk3LTg0NDEtNWFlNzE5NDM5MWM1XkEyXkFqcGdeQXVyOTI3MjYwOQ@@._V1_.jpg,Zendaya,female,174.0,1996-09-01,"Oakland, California, USA","Zendaya (which means ""to give thanks"" in the language of Shona) is an American actress and singer born in Oakland, California. She began her career appearing as a child model working for Macy's, Mervyns and Old Navy. She was a backup dancer before gaining prominence for her role as Rocky Blue on the Disney Channel sitcom Shake It Up (2010) which also includes Bella Thorne, Kenton Duty and Roshon Fegan. Zendaya was a contestant on the sixteenth season of the competition series Dancing with the Stars. She went on to produce and star as K.C. Cooper in the Disney Channel sitcom K.C. Undercover (2015) She made her film breakthrough in 2017, starring as Michelle ""MJ"" Jones in the Marvel Cinematic Universe superhero film Spider-Man: Homecoming (2017) and as Anne Wheeler in the musical drama film The Greatest Showman (2017) alongside actors such as Tom Holland, Hugh Jackman and Zac Efron. Besides acting, singing and dancing she is an ambassador for Convoy of Hope. She has written a book, launched her own clothing line (Daya by Zendaya) and proved herself to be a great role model for young girls all around the world."
20,nm4855517,https://m.media-amazon.com/images/M/MV5BNzQ1OTM3YzEtNDA2NS00NjMwLTgwNDUtZDc2NmFlZjYwMDM1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,Simu Liu,male,180.34,1989-04-19,"Harbin, China","Simu is a Canadian Screen Award nominated actor, writer and producer, known for his role as Jung Kim on the CBC sitcom Kim's Convenience (2016).

Immigrating from China at the age of 5, Simu was raised in Mississauga, Ontario. After graduating from the Richard Ivey School of Business and working at a top accounting firm for nearly a year, Liu was laid off. Deciding to pursue work in film and television instead, he quickly landed roles on series such as Heroes Reborn (2015), Nikita (2010), Warehouse 13 (2009) and Air Crash Investigation (2003).

He has since starred on Blood and Water (2015) and Taken (2017), and guest starred on shows such as The Expanse (2015), Bad Blood (2017), and Fresh Off the Boat (2015).

Liu has written and produced for television as well as in film. His short film Meeting Mommy was selected as a semi-finalist for the NBC Universal Shorts Festival. He was also a writer on the second season of Blood and Water, contributing as a story editor for the season and as the main writer for one episode.

Simu trains extensively in martial arts and stunt work in addition to television and theatrical performance."
21,nm0158626,https://m.media-amazon.com/images/M/MV5BMjM4Nzk2NjUxNF5BMl5BanBnXkFtZTgwMzY3NDI2MTI@._V1_.jpg,John Cho,male,177.8,1972-06-16,"Seoul, South Korea","John Yohan Cho was born in Seoul, South Korea, and moved to Los Angeles, California as a child. His father was a Christian minister. Cho was educated at Herbert Hoover High School at Glendale, before moving on to the University of California at Berkeley, where he studied English literature. Upon graduation, he moved back to Los Angeles, working for a while as a teacher at Pacific Hills School. He also began acting with the famed Asian American theatre company East West Players.

A screen acting career began with small roles in projects such as Wag the Dog (1997), Bowfinger (1999), and the critical favorite Better Luck Tomorrow (2002). His breakthrough came when he appeared in the teen romance comedy American Pie (1999) and helped coin the phrase ""MILF"". Other roles followed, and he scored another hit in the slacker comedy Harold & Kumar Go to White Castle (2004). Cho also starred in the hugely successful franchise reboot Star Trek (2009), in the sought-after role of Hikaru Sulu, and has continued working steadily in Hollywood, starring in the indie drama Columbus (2017), thriller film Searching (2018), and the horror follow-up The Grudge (2020). As well as acting, Cho is also a singer and performs in the band Viva La Union.

He is married to actress Kerri Higuchi, and they have two children."
22,nm0005351,https://m.media-amazon.com/images/M/MV5BOTI3ODk1MTMyNV5BMl5BanBnXkFtZTcwNDEyNTE2Mg@@._V1_.jpg,Ryan Reynolds,male,187.96,1976-10-23,"Vancouver, British Columbia, Canada","Ryan Rodney Reynolds was born on October 23, 1976 in Vancouver, British Columbia, Canada, the youngest of four children. His father, James Chester Reynolds, was a food wholesaler, and his mother, Tamara Lee ""Tammy"" (Stewart), worked as a retail-store saleswoman. He has Irish and Scottish ancestry. Between 1991-93, Ryan appeared in Fifteen (1990), a Nickleodeon series taped in Florida with many other Canadian actors. After the series ended, he returned to Vancouver where he played in a series of forgettable television movies. He did small roles in Glenn Close's Serving in Silence: The Margarethe Cammermeyer Story (1995) and CBS's update of In Cold Blood (1996). However, his run of luck had led him to decide to quit acting.

One night, he ran into fellow Vancouver actor and native Chris William Martin. Martin found Ryan rather despondent and told him to pack everything: they were going to head to Los Angeles, California. The two stayed in a cheap Los Angeles motel. On the first night of their stay, Reynolds' jeep was rolled downhill and stripped. For the next four months, Ryan drove it without doors. In 1997, he landed the role of Berg in Two Guys, a Girl and a Pizza Place (1998). Initially, the show was reviled by critics and seemed desperate for any type of ratings success. However, it was renewed for a second season but with a provision for a makeover by former Roseanne (1988) writer Kevin Abbott. The show became a minor success and has led to additional film roles for Ryan, most notably in the last-ever MGM film, a remake of The Amityville Horror (2005). Ryan was engaged to Canadian singer-songwriter Alanis Morissette, another Nickelodeon veteran, between 2004-2006.

He has been married to Blake Lively since September 9, 2012. They have three daughters. He was previously married to Scarlett Johansson."
23,nm3154303,https://m.media-amazon.com/images/M/MV5BOWU1Nzg0M2ItYjEzMi00ODliLThkODAtNGEyYzRkZTBmMmEzXkEyXkFqcGdeQXVyNDk2Mzk2NDg@._V1_.jpg,Timothée Chalamet,male,177.8,1995-12-27,"New York City, New York, USA","Timothée Hal Chalamet was born in Manhattan, to Nicole Flender, a real estate broker and dancer, and Marc Chalamet, a UNICEF editor. His mother, who is from New York, is Jewish, of Russian Jewish and Austrian Jewish descent. His father, who is from Nîmes, France, is of French and English ancestry. He is the brother of actress Pauline Chalamet, a nephew of director Rodman Flender, and a grandson of screenwriter Harold Flender.

He grew up in an artistic family, appearing in commercials and the New York theatre scene, and attending the LaGuardia High School of Music, Art and Performing Arts, where his classmate and friend was actor Ansel Elgort (the two later received their first Golden Globe nominations in the same year, 2017). For a time, Timothée also attended Columbia University.

He made his film debut in 2014, as a high school student in Jason Reitman's Men, Women & Children (2014) and Matthew McConaughey's character's teenage son in Interstellar (2014). He subsequently had sizable roles in several indie films, playing the younger version of writer Stephen Elliott in The Adderall Diaries (2015), the male lead, Zac, in the drama One and Two (2015), and Billy in the road trip drama Miss Stevens (2016). On stage, he has appeared in the plays The Talls, by Anna Kerrigan, and John Patrick Shanley's autobiographical Prodigal Son, while on television, he has had a minor role in the film Loving Leah (2009), a big part in Law & Order (1990), and meatier roles on the shows Royal Pains (2009) and Homeland (2011), among other work.

He broke out in 2017, appearing in notable supporting roles, as a soldier in the western Hostiles (2017) and a high school crush of the title character in Lady Bird (2017), and in a leading role as Elio, an Italian Jewish seventeen year-old who romances his father's older assistant, played by Armie Hammer, in the Luca Guadagnino drama Call Me by Your Name (2017). Timothée's role as Elio received significant critical acclaim, and he was nominated for the Academy Award for Best Actor, and the Golden Globe Award for Best Actor, Drama, and won many critics' groups' awards for Best Actor of the Year.

In 2018, he starred as Nic Sheff, who suffers from substance abuse problems, in the drama Beautiful Boy (2018). In 2019, he will headline the Woody Allen comedy A Rainy Day in New York (2019), with Selena Gomez, play Henry V of England, King from 1413 to 1422, in the historical drama The King (2019), and embody love interest Laurie in Greta Gerwig's take on Little Women (2019)."
